"",% Children in different types of schools ,% Children not in school,""
"","","",Total
"","",Never ,""
"",Government Private Madarsa EGS ,Drop Out,""
"","",Enrolled,""
Age : 6-14 ALL ,88.5 9.5 0.1 0.0 ,0.3 1.6 ,100
Age : 6-10 ALL ,89.9 9.5 0.0 0.0 ,0.1 0.4 ,100
Age : 11-14 ALL ,87.0 9.5 0.1 0.0 ,0.5 2.9 ,100
Age : 6-10 BOYS ,89.5 9.9 0.1 0.0 ,0.2 0.4 ,100
Age : 6-10 GIRLS ,90.4 9.1 0.0 0.0 ,0.1 0.4 ,100
Age : 11-14 BOYS ,87.3 9.3 0.1 0.0 ,0.4 2.8 ,100
Age : 11-14 GIRLS ,86.7 9.7 0.1 0.0 ,0.5 3.0 ,100
